Area,Bedrooms,Bathrooms,Balcony,Floor_No,Total_Floors,Carpet_Area,Parking_Count,Maintenance_Cost,City,Property_Type,Quality,Furnishing,Property_Age,Facing,Parking,Gym,Pool,Lift,Security,Garden,Play_Area,Club_House,Power_Backup,Water_Supply,WiFi,Maintenance,Fire_Safety,CCTV,Intercom,Rainwater,Visitor_Parking,Price
3181,2,3,0,7,8,2925,0,3120,Hyderabad,villa,low,unfurnished,5-10,6,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,28036349
3266,4,5,1,10,11,2881,0,7048,Hyderabad,apartment,high,unfurnished,20+,7,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,30991171
3218,3,2,2,5,29,2515,2,990,Chennai,apartment,medium,semi,0-5,4,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,24685913
2229,2,2,3,10,15,1920,1,2561,Hyderabad,independent,medium,full,5-10,5,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,22769727
1522,4,5,1,9,10,1377,2,2435,Kolkata,independent,medium,semi,0-5,3,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,10739668
1289,4,4,0,13,27,1099,2,4550,Ahmedabad,apartment,medium,semi,5-10,7,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,7794437
964,3,4,2,14,16,802,0,2850,Mumbai,independent,high,unfurnished,10-20,5,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,14922314
1858,2,3,2,15,16,1714,1,4434,Jaipur,apartment,low,full,10-20,2,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,9780953
1500,3,2,3,17,18,1383,1,3539,Delhi,apartment,medium,full,20+,2,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,13884375
1517,3,2,3,6,7,1263,1,1749,Hyderabad,independent,low,unfurnished,5-10,5,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,14832768
689,2,1,0,1,5,631,1,3875,Delhi,villa,high,full,5-10,3,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,8597257
1862,4,5,0,8,9,1471,0,1257,Bangalore,independent,high,full,0-5,7,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,15545299
2569,3,3,1,19,20,2064,1,7071,Mumbai,independent,low,full,0-5,5,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,33797044
1236,1,1,1,3,18,1011,2,1879,Ahmedabad,independent,medium,semi,10-20,6,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,10725278
3382,3,3,0,9,21,2819,0,2837,Jaipur,villa,high,unfurnished,10-20,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,16360266
1834,4,5,0,2,16,1524,2,1830,Mumbai,independent,low,semi,20+,4,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,20883699
2295,3,3,2,5,24,1806,1,5570,Chennai,apartment,medium,semi,20+,5,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,14220328
2422,1,2,0,19,25,1828,2,4861,Pune,villa,high,full,5-10,3,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,22677233
1951,2,3,0,13,14,1544,1,1134,Kolkata,apartment,low,unfurnished,0-5,7,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,12134157
2190,1,2,3,14,15,1847,2,4660,Kolkata,villa,low,unfurnished,20+,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,17154805
671,3,3,3,0,11,610,1,882,Kolkata,independent,high,unfurnished,0-5,7,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,6044162
2568,3,4,2,16,21,2419,2,4199,Chennai,independent,high,unfurnished,5-10,2,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,15712594
1576,1,2,3,13,19,1280,2,5869,Ahmedabad,independent,low,semi,5-10,7,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,12801787
3119,3,3,0,1,3,2493,1,6773,Rajahmundry,apartment,medium,semi,10-20,2,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,16766146
1033,4,5,3,15,23,796,1,3672,Hyderabad,villa,high,semi,0-5,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,9918947
3436,4,3,1,4,6,3197,2,470,Mumbai,independent,medium,unfurnished,20+,2,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,40051603
2316,3,2,3,12,13,1836,0,5690,Hyderabad,apartment,high,semi,10-20,3,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,23008365
3345,1,2,1,19,25,2971,2,277,Ahmedabad,apartment,high,unfurnished,0-5,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,21083638
3249,1,1,1,16,17,2750,1,4258,Ahmedabad,apartment,high,semi,0-5,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,23448981
1585,4,4,1,17,18,1294,0,4621,Kolkata,independent,high,full,10-20,2,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,15421255
3010,2,1,2,3,13,2577,1,1956,Mumbai,independent,medium,unfurnished,5-10,3,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,36184050
1475,3,4,1,15,16,1133,1,657,Hyderabad,apartment,low,unfurnished,10-20,3,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,8756907
2241,2,3,3,8,9,2084,1,2671,Ahmedabad,independent,high,full,5-10,2,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,19280511
2797,4,5,2,12,27,2534,0,7483,Kolkata,villa,low,semi,0-5,2,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,19913192
1094,1,1,1,9,25,971,1,4470,Jaipur,apartment,medium,full,20+,7,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,5909062
2701,3,4,3,16,19,2237,0,186,Rajahmundry,villa,low,full,10-20,6,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,14453851
2510,2,3,3,11,13,2300,0,5182,Bangalore,apartment,low,semi,20+,3,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,26269334
827,3,3,3,18,19,714,0,2074,Kolkata,apartment,low,semi,10-20,3,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,6532187
1291,4,5,3,8,9,996,1,6725,Mumbai,independent,high,unfurnished,20+,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,15745046
1179,3,3,1,2,25,1003,2,5458,Pune,villa,high,semi,5-10,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,13037481
2033,3,3,3,16,17,1724,0,4654,Pune,villa,high,semi,5-10,7,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,19467860
1255,2,2,1,19,20,977,0,4873,Rajahmundry,apartment,low,unfurnished,5-10,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,6591116
800,2,1,1,15,20,677,1,4416,Chennai,villa,high,semi,10-20,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,8400840
1273,4,4,3,5,6,1207,1,6349,Mumbai,apartment,low,unfurnished,20+,3,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,15528655
1309,4,3,0,13,29,1071,2,5675,Bangalore,apartment,medium,full,20+,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,13753427
1733,2,2,2,7,13,1631,2,5764,Jaipur,apartment,medium,full,0-5,6,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,9356384
2701,2,3,3,13,14,2464,1,7604,Bangalore,apartment,medium,unfurnished,20+,5,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,15695363
3332,3,2,0,19,20,2910,1,5162,Chennai,villa,medium,full,5-10,6,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,27867205
3257,3,4,3,5,14,2832,0,1243,Bangalore,independent,high,semi,10-20,7,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,21559559
1319,1,1,0,19,22,1154,0,6150,Rajahmundry,independent,medium,unfurnished,10-20,4,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,10091862
872,3,3,1,19,29,806,1,6135,Jaipur,independent,medium,semi,10-20,6,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,6035516
990,4,3,1,5,27,809,0,5867,Pune,villa,low,full,5-10,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,8818534
976,2,1,3,2,15,901,2,6403,Pune,apartment,high,semi,5-10,7,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,7086804
3030,2,2,2,12,13,2710,1,18,Pune,villa,high,semi,0-5,5,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,20018210
2325,1,2,1,19,20,1920,1,273,Chennai,independent,high,semi,20+,5,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,17080586
982,2,2,0,15,16,768,2,1654,Bangalore,apartment,medium,unfurnished,5-10,7,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,8338523
628,3,4,1,11,15,578,0,3218,Chennai,independent,medium,full,20+,2,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,4884877
2237,2,1,1,16,17,1879,1,1514,Ahmedabad,apartment,low,semi,20+,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,16219221
1764,3,3,3,17,27,1324,0,7259,Chennai,independent,high,unfurnished,20+,7,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,15923947
747,2,2,2,17,18,648,0,7537,Hyderabad,independent,low,full,10-20,2,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,7811058
2473,4,5,3,0,19,2112,0,3197,Bangalore,apartment,medium,full,5-10,6,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,22664258
2883,3,4,1,7,21,2733,0,5765,Kolkata,independent,high,full,10-20,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,16108981
1758,2,3,1,8,21,1517,2,2580,Rajahmundry,apartment,low,unfurnished,10-20,3,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,7616218
2564,3,3,1,7,8,2012,2,1248,Ahmedabad,independent,medium,unfurnished,20+,4,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,18542548
2264,2,3,0,1,16,1787,2,5521,Hyderabad,apartment,low,unfurnished,5-10,4,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,23607830
1952,3,4,3,7,9,1584,1,1411,Bangalore,independent,high,unfurnished,20+,4,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,12710756
790,2,1,1,10,11,735,1,1187,Ahmedabad,apartment,low,semi,20+,7,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,4028058
2844,3,4,0,17,20,2356,0,4588,Hyderabad,apartment,low,semi,10-20,3,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,17729461
1990,2,1,3,14,25,1621,2,6326,Bangalore,independent,medium,full,5-10,2,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,14569671
1630,3,3,1,3,25,1519,1,6358,Delhi,apartment,medium,unfurnished,10-20,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,13128012
2494,2,3,3,18,20,2014,1,5178,Kolkata,apartment,low,unfurnished,0-5,6,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,21398653
1746,3,3,0,0,18,1449,0,6120,Bangalore,independent,low,full,20+,6,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,17903745
1958,3,3,2,14,18,1715,2,4482,Jaipur,villa,low,semi,20+,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,13750361
1520,2,2,3,1,17,1277,0,3639,Mumbai,apartment,low,unfurnished,5-10,2,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,16453919
1598,1,1,0,19,20,1318,0,5607,Jaipur,apartment,medium,unfurnished,5-10,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,7725799
815,4,3,1,10,27,712,1,1128,Kolkata,villa,medium,semi,10-20,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,6132886
1098,2,2,1,3,4,1000,1,5737,Kolkata,villa,medium,semi,0-5,3,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,10155843
3179,4,5,1,7,8,2989,0,4631,Kolkata,independent,medium,full,0-5,6,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,21801512
3049,3,3,0,5,14,2697,2,1133,Ahmedabad,villa,high,full,10-20,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,18764549
1091,3,2,1,7,26,929,0,3683,Rajahmundry,independent,low,unfurnished,10-20,6,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,5727377
3081,1,1,0,11,12,2714,0,7507,Bangalore,villa,high,unfurnished,5-10,5,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,28295299
1166,4,5,0,4,29,991,1,7776,Kolkata,villa,high,semi,0-5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,9284080
1216,1,1,1,19,20,998,2,3161,Hyderabad,villa,low,semi,20+,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,13417852
2834,2,2,1,3,18,2626,2,3672,Kolkata,villa,high,semi,0-5,2,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,23355402
1975,1,1,3,8,9,1847,0,6961,Ahmedabad,villa,high,unfurnished,0-5,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,10760040
1334,4,4,2,19,24,1159,2,7787,Jaipur,apartment,high,full,10-20,3,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,9872102
1386,1,1,3,16,24,1134,2,7216,Kolkata,villa,high,unfurnished,5-10,6,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,13367457
1086,4,4,3,19,20,958,1,6954,Rajahmundry,villa,medium,full,0-5,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,5917297
2552,1,1,3,1,12,1977,1,2793,Jaipur,independent,high,unfurnished,10-20,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,19691372
3321,4,3,1,5,13,3086,1,3089,Mumbai,independent,medium,semi,0-5,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,42842277
2010,2,1,2,4,9,1762,0,6085,Bangalore,villa,low,unfurnished,0-5,2,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,20582010
3169,2,1,0,2,19,2682,2,4611,Rajahmundry,apartment,medium,semi,0-5,5,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,18407773
3299,1,1,3,10,28,2816,1,4564,Mumbai,apartment,medium,unfurnished,5-10,7,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,28324703
2179,2,2,2,5,17,1905,1,919,Chennai,villa,low,semi,0-5,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,15077332
2561,4,4,1,10,23,1939,1,342,Kolkata,apartment,low,semi,5-10,6,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,12666623
942,4,3,2,1,26,812,0,942,Ahmedabad,apartment,medium,full,5-10,4,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,4898491
2037,2,1,2,2,26,1737,1,1273,Hyderabad,independent,medium,unfurnished,0-5,5,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,19125840
2020,1,2,1,19,20,1624,1,5297,Rajahmundry,independent,high,full,10-20,6,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,9949620
818,3,2,2,15,29,774,2,6964,Rajahmundry,apartment,medium,unfurnished,20+,7,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,5295727
1988,4,4,1,10,11,1661,0,544,Kolkata,apartment,low,full,5-10,2,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,17379566
2043,1,2,0,17,18,1919,2,5752,Kolkata,villa,low,semi,20+,4,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,15415977
850,3,4,1,9,22,663,0,5565,Delhi,independent,medium,unfurnished,10-20,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,10979625
1288,4,4,3,14,15,1188,1,7147,Mumbai,independent,medium,unfurnished,5-10,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,16127495
806,3,2,0,14,17,680,0,402,Hyderabad,villa,medium,full,0-5,3,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,9745522
3041,2,2,2,18,21,2339,0,3814,Pune,villa,low,unfurnished,0-5,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,18249564
2868,3,2,3,11,12,2443,0,4992,Kolkata,villa,high,unfurnished,20+,6,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,26433704
2007,1,1,0,2,10,1737,0,551,Chennai,apartment,high,unfurnished,5-10,4,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,15732397
1448,1,1,2,18,24,1112,2,3625,Rajahmundry,independent,low,unfurnished,10-20,6,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,9573474
2621,1,1,1,11,12,2281,0,2243,Chennai,villa,low,semi,5-10,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,16740358
2323,1,2,1,18,19,2118,0,2772,Bangalore,apartment,low,semi,10-20,2,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,19668363
2207,2,3,1,1,7,1826,1,6074,Jaipur,independent,low,semi,20+,6,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,12104264
1415,4,3,1,3,15,1170,0,1158,Jaipur,independent,medium,unfurnished,20+,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,9037905
2634,4,5,2,6,23,1979,1,3557,Rajahmundry,independent,medium,semi,20+,6,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,12867096
1999,2,2,2,16,20,1584,0,5087,Rajahmundry,apartment,high,unfurnished,10-20,4,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,13144599
3108,4,4,1,12,27,2731,0,354,Bangalore,apartment,medium,unfurnished,0-5,3,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,30500401
1636,1,1,0,12,13,1400,1,6496,Jaipur,villa,low,full,10-20,7,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,13506785
1689,2,1,2,19,25,1284,0,6539,Kolkata,independent,low,unfurnished,10-20,5,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,8703493
1675,1,1,1,14,15,1267,1,1397,Pune,apartment,medium,full,10-20,7,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,13190688
3328,4,5,0,6,13,2990,0,5978,Rajahmundry,apartment,high,semi,20+,6,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,13180608
781,1,1,2,6,7,658,0,2419,Bangalore,villa,medium,full,10-20,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,9239931
3262,1,1,2,5,20,2472,2,3969,Hyderabad,villa,low,semi,0-5,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,19973945
1569,1,1,1,12,26,1401,1,1607,Pune,villa,high,full,20+,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,17216462
957,2,1,2,7,8,803,2,6975,Delhi,apartment,high,semi,10-20,4,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,12418593
1148,2,3,2,8,9,889,1,4507,Delhi,independent,medium,unfurnished,0-5,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,13417830
1665,4,3,2,13,14,1473,0,2970,Bangalore,independent,medium,semi,20+,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,15632427
1135,4,3,0,16,27,1068,0,3549,Jaipur,independent,high,semi,10-20,2,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,8660654
2600,3,3,2,15,16,2305,2,2752,Rajahmundry,independent,high,unfurnished,10-20,4,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,14685600
2492,4,5,1,8,9,1980,1,7796,Mumbai,apartment,low,full,20+,5,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,24002412
2939,4,3,1,17,18,2589,1,2113,Pune,independent,high,full,0-5,5,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,29629773
2577,3,4,3,1,19,2047,2,7396,Hyderabad,apartment,high,semi,10-20,3,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,19105280
2656,2,1,0,17,18,2177,1,4727,Rajahmundry,apartment,high,unfurnished,20+,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,13411560
3217,4,3,0,5,13,2583,1,3936,Mumbai,apartment,medium,unfurnished,5-10,4,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,41792627
661,3,3,3,18,19,615,2,2358,Kolkata,apartment,medium,unfurnished,5-10,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,4736036
2608,2,1,1,6,7,2259,2,4492,Chennai,villa,low,semi,20+,4,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,16337916
1547,2,2,0,17,18,1387,1,1287,Hyderabad,apartment,high,unfurnished,10-20,3,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,12507212
3329,1,2,3,8,9,2791,2,7776,Kolkata,independent,medium,unfurnished,5-10,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,17987027
3198,1,1,3,0,17,2760,0,6789,Hyderabad,villa,medium,semi,10-20,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,32738461
1901,3,4,3,6,8,1463,0,4820,Jaipur,villa,low,full,10-20,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,13488400
1303,1,2,2,17,18,1057,0,4930,Jaipur,villa,low,unfurnished,10-20,3,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,10881097
1797,1,2,3,14,28,1422,0,298,Rajahmundry,apartment,high,semi,20+,6,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,12695658
2016,2,3,0,0,21,1852,2,4293,Kolkata,apartment,low,full,10-20,7,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,10527672
1970,1,1,3,0,7,1731,0,6258,Kolkata,apartment,medium,unfurnished,10-20,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,15689525
2256,4,4,1,8,25,2061,0,818,Pune,apartment,high,unfurnished,0-5,2,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,21151808
2381,1,1,3,15,18,1909,0,550,Jaipur,villa,medium,full,20+,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,19777021
1577,1,1,2,3,26,1196,2,527,Chennai,villa,medium,unfurnished,10-20,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,13502476
3093,2,1,2,7,18,2683,0,1973,Bangalore,independent,high,semi,10-20,7,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,32800341
1191,3,4,1,15,16,912,2,3824,Pune,villa,high,unfurnished,20+,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,10214838
1821,1,1,2,14,15,1676,1,6649,Delhi,independent,medium,full,5-10,6,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,21713787
2672,3,3,1,17,18,2379,2,4415,Ahmedabad,villa,medium,semi,10-20,5,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,14697302
2236,1,2,0,17,18,1711,1,4179,Mumbai,villa,medium,semi,10-20,2,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,22884304
1504,3,4,2,11,12,1180,2,5197,Ahmedabad,independent,high,unfurnished,0-5,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,11036217
1120,1,2,2,4,21,871,0,7111,Chennai,apartment,low,full,10-20,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,7625856
1576,4,4,1,18,24,1224,1,2903,Pune,villa,medium,full,10-20,2,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,13932959
3252,2,3,1,13,18,2952,1,2165,Pune,independent,low,unfurnished,0-5,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,29854077
2085,1,1,1,3,10,1889,0,1030,Delhi,apartment,high,full,10-20,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,19164281
3168,4,5,1,8,16,2494,0,6003,Jaipur,independent,high,full,10-20,7,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,18767483
2492,1,1,2,15,16,1894,1,3690,Ahmedabad,apartment,high,semi,5-10,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,13282214
2802,1,2,3,0,8,2180,0,2941,Ahmedabad,apartment,medium,semi,0-5,7,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,15661485
1901,3,4,2,2,17,1487,1,4516,Ahmedabad,villa,high,full,0-5,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,16653460
714,1,1,0,19,25,596,1,968,Bangalore,apartment,high,full,20+,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,8948244
1397,4,5,0,19,20,1278,2,21,Ahmedabad,apartment,medium,unfurnished,20+,2,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,6954361
3311,4,3,1,12,29,2653,2,1678,Ahmedabad,independent,low,semi,20+,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,22966883
2012,1,2,0,18,19,1867,2,421,Chennai,villa,low,full,0-5,6,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,14412203
2131,2,1,0,17,20,2007,2,2423,Ahmedabad,villa,medium,unfurnished,0-5,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,11451627
1574,4,4,1,11,12,1223,1,2277,Ahmedabad,villa,low,semi,0-5,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,11227487
732,3,2,1,15,22,588,2,2835,Chennai,villa,high,unfurnished,5-10,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,9059765
3348,3,4,1,19,20,3168,1,3856,Rajahmundry,independent,medium,unfurnished,20+,2,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,13438416
1471,2,1,3,18,19,1245,2,3391,Chennai,independent,medium,semi,20+,7,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,15246762
1136,3,4,1,16,29,897,0,966,Rajahmundry,independent,low,full,10-20,3,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,7282512
2521,3,4,0,10,11,2004,2,28,Hyderabad,apartment,high,unfurnished,0-5,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,25663382
1214,3,3,2,10,11,1083,1,1349,Bangalore,apartment,low,unfurnished,20+,5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,8128257
3113,1,1,2,16,23,2335,0,7065,Pune,apartment,medium,unfurnished,0-5,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,23589364
